,,,,,,,,,,,,,,
Disclaimers
• This is an analytics report and currently we support downloading top 8000 listings by sold quantity.
• This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.
• Any fees charged or credits applied to these listings outside this time range are not included in this report.
"• For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item."

"Report for Jan 1, 2022 to Dec 31, 2022"
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Ads Standard fees,Ads Advanced fees,Ads Express fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers,
"Jojo's Bizarre Adventure Sony PlayStation 1, PS1, 2000 US NTSC Disc Only Tested.",393997636671,-,-,1,$280.76,$250.00,$0.00,$25.76,$5.00,$59.64,$0.00,$0.00,$36.52,$15.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.12,$195.36,$280.76,1,1,0
Build-A-Bear Sonic the Hedgehog - Tails Plush Yellow BAB 14” Loose Plushie,394013296481,-,-,1,$38.05,$30.00,$0.00,$2.15,$5.90,$9.93,$0.00,$0.00,$5.21,$0.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.42,$25.97,$38.05,1,1,0
Funko Pop! ATTACK ON TITAN #21 Mikasa Ackerman - OOB No Box Loose,394020013120,-,-,1,$47.95,$40.00,$0.00,$2.80,$5.15,$11.98,$0.00,$0.00,$6.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.49,$33.17,$47.95,0,1,0
"Funko Pop Breaking Bad #158 Walter White, Loose, OOB",394020024467,-,-,1,$26.72,$20.00,$0.00,$1.52,$5.20,$7.76,$0.00,$0.00,$3.75,$0.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.81,$17.44,$26.72,1,0,0
"Disgaea 5: Alliance of Vengeance (Sony PlayStation 4, 2015) - Complete",394020039752,-,-,1,$33.23,$25.00,$0.00,$3.43,$4.80,$8.56,$0.00,$0.00,$4.59,$0.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.72,$21.24,$33.23,1,0,0
"Divinity: Original Sin -- Enhanced Edition (Sony PlayStation 4 PS4, 2015) VG",394020049136,-,-,1,$26.73,$20.00,$0.00,$1.73,$5.00,$7.61,$0.00,$0.00,$3.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.86,$17.39,$26.73,0,0,1
"Near Dark (DVD, 2002, 2-Disc Set) Bill Paxton Horror THX Digital w/ Insert ",394021097350,-,-,1,$35.19,$30.00,$0.00,$2.00,$3.19,$9.23,$0.00,$0.00,$5.44,$0.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.19,$23.96,$35.19,1,0,0
"NFL Street (Sony PlayStation 2, 2004) Black Label CIB Tested Complete W/ Manual",394021480111,-,-,1,$21.36,$15.00,$0.00,$1.21,$5.15,$6.85,$0.00,$0.00,$3.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.79,$13.30,$21.36,0,0,0
Vintage BATMOBILE BATMISSLE Figure Vehicle 1992 Kenner Pre Owned Car Only,394021553222,-,-,1,$72.14,$55.00,$0.00,$3.44,$13.70,$21.19,$0.00,$0.00,$9.61,$1.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.93,$47.51,$72.14,1,0,0
Funko Pop! Breaking Bad #161 Jesse Pinkman Haz-Mat Suit Vaulted OOB Loose No Box,394043346873,-,-,1,$26.66,$25.00,$0.00,$1.66,$0.00,$7.55,$0.00,$0.00,$3.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.81,$17.45,$26.66,0,1,0
