 Category name,Sales,Vs. prior period,Percentage of your sales,One-time buyers,Repeat buyers,Auction sales,Fixed price sales,Average sales price per item
Video Games & Consoles>Video Games,$66.54,53.67% Up,34.5%,3,0,$0.00,$66.54,$22.18
Toys & Hobbies>Action Figures & Accessories>Action Figures,$38.75,0.00% Up,20.1%,1,0,$0.00,$38.75,$38.75
Toys & Hobbies>Games>Board & Traditional Games>Contemporary Manufacture,$37.39,0.00% Up,19.4%,1,0,$0.00,$37.39,$37.39
Video Games & Consoles>Video Game Accessories>Controllers & Attachments,$31.99,0.00% Up,16.6%,1,0,$0.00,$31.99,$31.99
"Clothing, Shoes & Accessories>Specialty>Vintage>Vintage Accessories>Belt Buckles",$18.02,0.00% Up,9.3%,1,0,$0.00,$18.02,$18.02
